Data,Spustelėjimai,Parodymai,PR,Pozicija
2026-06-09,0,7,0%,16.7
2026-06-10,0,3,0%,9.3
2026-06-11,0,2,0%,72.5
2026-06-12,0,22,0%,11
2026-06-13,0,3,0%,12.7
2026-06-14,0,4,0%,19.8
2026-06-15,0,12,0%,14.3
2026-06-16,0,18,0%,13.9
2026-06-17,0,10,0%,14.4
2026-06-18,0,15,0%,20.3
2026-06-19,0,11,0%,36
2026-06-20,0,0,,
2026-06-21,0,9,0%,11.1
2026-06-22,0,7,0%,8.9
2026-06-23,0,5,0%,5.2
2026-06-24,1,4,25%,55.5
2026-06-25,0,0,,
2026-06-26,0,7,0%,28.6
2026-06-27,0,9,0%,34.4
2026-06-28,0,3,0%,8.7
2026-06-29,1,9,11.11%,20.3
2026-06-30,0,3,0%,3
2026-07-01,0,7,0%,8.4
2026-07-02,0,12,0%,12.1
2026-07-03,0,13,0%,10.8
2026-07-04,0,7,0%,6.1
2026-07-05,0,8,0%,6.5
2026-07-06,0,6,0%,13
2026-07-07,0,8,0%,6.9
2026-07-08,0,16,0%,13.4
2026-07-09,0,10,0%,11.2
2026-07-10,0,18,0%,26.4
2026-07-11,0,15,0%,10.5
2026-07-12,0,9,0%,19.1
2026-07-13,0,15,0%,17.8
2026-07-14,0,7,0%,40.7
2026-07-15,0,9,0%,31.7
2026-07-16,0,3,0%,44.7
2026-07-17,0,5,0%,49.6
2026-07-18,0,2,0%,19.5
2026-07-19,0,9,0%,22.9
2026-07-20,1,8,12.5%,11.5
2026-07-21,0,6,0%,18.5
2026-07-22,0,4,0%,5
2026-07-23,0,11,0%,27.7
2026-07-24,0,6,0%,22.5
2026-07-25,1,10,10%,10.1
2026-07-26,0,25,0%,10.2
2026-07-27,0,13,0%,24.6
2026-07-28,0,18,0%,20.6
2026-07-29,1,29,3.45%,14.9
2026-07-30,0,12,0%,27
2026-07-31,0,11,0%,20.5
2026-08-01,0,10,0%,11.1
2026-08-02,0,13,0%,34.8
2026-08-03,0,4,0%,18.8
2026-08-04,0,12,0%,17.2
2026-08-05,0,15,0%,27
2026-08-06,0,13,0%,28.2
2026-08-07,0,16,0%,16.9
2026-08-08,0,2,0%,52
2026-08-09,0,25,0%,29.3
2026-08-10,0,17,0%,18.8
2026-08-11,0,15,0%,13.7
2026-08-12,0,11,0%,32.5
2026-08-13,0,12,0%,19.2
2026-08-14,0,8,0%,33.1
2026-08-15,0,9,0%,42.8
2026-08-16,0,17,0%,32.9
2026-08-17,0,16,0%,21.6
2026-08-18,0,35,0%,11.1
2026-08-19,0,13,0%,25.6
2026-08-20,0,11,0%,46.5
2026-08-21,0,6,0%,39.7
2026-08-22,0,13,0%,29.2
2026-08-23,0,10,0%,19.7
2026-08-24,0,13,0%,33.2
2026-08-25,1,14,7.14%,26.1
2026-08-26,0,15,0%,22.9
2026-08-27,0,7,0%,27.9
2026-08-28,0,13,0%,21.5
2026-08-29,0,14,0%,50.6
2026-08-30,0,11,0%,26.2
2026-08-31,0,13,0%,25.3
2026-09-01,0,9,0%,19.6
2026-09-02,0,13,0%,11.7
2026-09-03,0,13,0%,17.7
2026-09-04,1,29,3.45%,5.1
2026-09-05,0,13,0%,10.4
2026-09-06,0,11,0%,9.5
2026-09-07,1,25,4%,9.4
2026-09-08,0,16,0%,9.4
