Data,Spustelėjimai,Parodymai,PR,Pozicija
2026-08-18,0,35,0%,11.1
2026-08-19,0,13,0%,25.6
2026-08-20,0,11,0%,46.5
2026-08-21,0,6,0%,39.7
2026-08-22,0,13,0%,29.2
2026-08-23,0,10,0%,19.7
2026-08-24,0,13,0%,33.2
2026-08-25,1,14,7.14%,26.1
2026-08-26,0,15,0%,22.9
2026-08-27,0,7,0%,27.9
2026-08-28,0,13,0%,21.5
2026-08-29,0,14,0%,50.6
2026-08-30,0,11,0%,26.2
2026-08-31,0,13,0%,25.3
2026-09-01,0,9,0%,19.6
2026-09-02,0,13,0%,11.7
2026-09-03,0,13,0%,17.7
2026-09-04,1,29,3.45%,5.1
2026-09-05,0,13,0%,10.4
2026-09-06,0,11,0%,9.5
2026-09-07,1,25,4%,9.4
2026-09-08,0,16,0%,9.4
